"ISO3","Year","Disaster_Frequency","Export_Domestics_Agriculture","Export_Foreign_Agriculture","Output_Domestic_Agriculture","Output_Foreign_Agriculture","Export_Domestics_Construction","Export_Foreign_Construction","Output_Domestic_Construction","Output_Foreign_Construction","Export_Domestics_Education","Export_Foreign_Education","Output_Domestic_Education","Output_Foreign_Education","Export_Domestics_Electronic","Export_Foreign_Electronic","Output_Domestic_Electronic","Output_Foreign_Electronic","Export_Domestics_Energy","Export_Foreign_Energy","Output_Domestic_Energy","Output_Foreign_Energy","Export_Domestics_Food","Export_Foreign_Food","Output_Domestic_Food","Output_Foreign_Food","Export_Domestics_HumanActivities","Export_Foreign_HumanActivities","Output_Domestic_HumanActivities","Output_Foreign_HumanActivities","Export_Domestics_Machinery","Export_Foreign_Machinery","Output_Domestic_Machinery","Output_Foreign_Machinery","Export_Domestics_Manufacturing","Export_Foreign_Manufacturing","Output_Domestic_Manufacturing","Output_Foreign_Manufacturing","Export_Domestics_Mining","Export_Foreign_Mining","Output_Domestic_Mining","Output_Foreign_Mining","Export_Domestics_Pharma","Export_Foreign_Pharma","Output_Domestic_Pharma","Output_Foreign_Pharma","Export_Domestics_RawMaterial","Export_Foreign_RawMaterial","Output_Domestic_RawMaterial","Output_Foreign_RawMaterial","Export_Domestics_Recreation","Export_Foreign_Recreation","Output_Domestic_Recreation","Output_Foreign_Recreation","Export_Domestics_Transportation","Export_Foreign_Transportation","Output_Domestic_Transportation","Output_Foreign_Transportation"
"LTU","2016",0,311.802369849978,4.87922916235098,970.831198882323,15.1907557374051,8.59927586822184,1.78367617847381,837.077271086155,126.806405589286,7.73251002110632,0.0058436103595376,233.620827033066,0.178172137634217,47.7341562988104,27.5388449420386,105.00256585273,60.6897474843915,1192.90886900963,5.3587480310787,5075.9598442059,124.452054232656,257.805382192567,142.844507828692,784.547403201356,221.035109818358,45.9288163564567,16.8706663480953,1284.2815589968,136.843535139647,386.603494637155,109.500925312435,628.599662051711,119.117180868663,71.9185982991189,52.6215849668204,176.194194974579,77.0933004663652,0.762619061569078,1.09456499641876,15.0916501398626,3.41200233651177,147.038715156421,61.3689099676407,205.856883346828,82.791721102623,54.4907843483935,38.699979917719,228.40422297012,75.4904929433569,3.65637384475528,0.13979332943756,171.849880355327,6.57303034640477,1968.79299927939,299.802600326166,3674.59459130691,538.927830906333
"LTU","2017",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LTU","2018",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LUX","2005",0,59.2450266159057,13.2624887892372,89.8889300709283,20.3487504310012,2.93615598211312,2.15719428320141,1385.16528524327,834.021815187637,1.79153690709466,0.386517724977967,95.2965606801987,4.69429373096042,62.5374354823748,92.8659777089888,81.9502495308936,107.069716303724,220.776681302094,675.241813600378,1620.62195878853,4445.13603912838,304.523348900931,472.428678677511,392.172044222026,767.779988828727,745.149581229727,1710.03881420977,1913.05457104048,2135.13528777005,18.8274855812279,365.964021461735,45.0895869557008,569.237782682176,177.385828225369,255.30929415446,447.384834983694,290.261038541394,1.30364797803212,0,3.84688845911925,0,0,78.0169599063873,0,250.281028858727,44.3004206272413,195.501679262477,136.062180287128,259.124107856616,27.1737940413223,11.7610692267768,121.046175947579,44.5704493346715,1886.82615263123,722.943194242021,2935.35491252771,1523.30495694271
"LUX","2006",0,64.9125353976409,16.1633078746203,98.4113735947324,24.5023127598167,2.71371743313901,1.98233376484444,1527.65605555554,910.862814925546,2.08659637409898,0.0245993048642879,125.559059659009,1.48860738889468,63.5440086254369,144.46881066092,86.9603660493779,158.840681634874,270.730949400556,547.986277196229,1778.24089011656,4277.36145689206,277.630712684893,456.277409419684,383.831173751863,623.197743541907,1352.97834446165,1442.26985460367,2600.07227049104,1840.62096699572,38.8002396764067,485.710064907073,89.0187669574741,653.232297933052,250.35633038272,298.512426411873,542.971031132218,338.802285319333,1.93739677608837,0,4.43201361207609,0,0,95.8738002101281,0,299.834366183365,52.7739138167909,241.982255703357,155.499215109153,290.013247955543,33.5771091265364,11.0817634011371,147.680507761045,48.741348957619,1756.04379619108,872.457591689348,2790.5353042357,1753.14043481553
"LUX","2007",0,54.5425002989411,10.1144022538328,93.4345461326464,17.3250527100374,2.13292292931554,1.36978741883468,1329.21515384336,696.533459318731,1.56828638787534,0.0206642818010861,102.916869311467,1.36271043815056,73.3764040491993,137.329253605052,100.355971845927,151.026118497189,214.724617335187,643.134227398633,1429.02942388152,5978.75237803458,249.120486032769,412.897954948342,361.897933239241,587.632398781897,1258.97942689762,1328.5923753222,2520.74091290431,1702.0185004703,37.5327332240915,453.218618262532,87.9571198879644,593.251550398511,298.786333186947,193.743303367326,552.079078345548,226.802928752196,0.994662708674257,0,5.32708506936232,0,0,84.9153191925343,0,255.480917647061,57.2149261139369,209.850121248448,145.931529027541,250.909086879273,30.4503214695704,8.8764456394616,145.917640239556,42.5357472616389,1993.75572612554,728.307099501838,3063.31133911391,1519.46864319946
"LUX","2008",0,58.5215594378008,9.65269831936713,97.110361035169,16.0180915894833,1.85414681887246,1.04731466525769,1348.72410380276,621.975793511289,1.85614350863931,0.0177102624507631,111.191953688023,1.06475457143831,67.0703792230598,123.288253625958,86.600846128841,139.188425698616,241.235328912118,677.513433209467,1801.14045751807,5824.95297229725,227.268243436949,383.334005205006,339.845900808825,542.145831580539,1272.6209944063,1055.32758448412,2545.15979722585,1384.15203510012,56.2157079798241,357.433937438447,128.244326990871,460.67690744161,167.727555558001,234.75557037877,379.23868029662,265.413272516029,1.53164984868304,8.23519177411645e-05,5.40695515261455,0.00030241735083948,0,73.0509976941074,0,222.180377847702,35.5937609368719,281.185291756971,122.778343239959,317.192357156197,29.5822835937514,8.2541127633803,141.266020984805,39.4188462926439,1904.07289262893,630.664476614717,3041.45432601216,1380.73161833969
"LUX","2009",0,59.6300901890319,9.57677275687203,81.0492939713083,13.0165905954314,1.52473093221341,0.851054829207118,1078.14190582573,490.834576163335,1.83701696051494,0.0172830165067102,113.272231430021,1.0708680202302,93.6152076807589,111.714632273657,105.511313105012,120.027715086698,221.801531390814,533.55047269029,1192.07494233617,2573.28359209021,231.045605437815,212.485001933143,370.289570992675,297.593334603308,649.228837073949,1303.83961751185,1647.64336573041,1544.95280593665,69.3523062641259,189.312705348769,127.478006251071,210.847173873649,134.50498047488,169.838660971989,306.369036348898,188.2915379236,1.63974292126131,0,2.53159723746215,0,0,48.421617723273,0,186.004230425435,59.0978830509442,145.954542753853,92.7518249614135,166.624242566318,28.196758510282,5.51726570603736,151.799615791463,29.7054455010007,1644.33228775032,452.045304643788,2779.01477157082,1099.50836580264
"LUX","2010",1,52.0507181172928,5.98958585181822,67.3098421525187,7.74582572344491,1.30323480073116,0.694723593918578,891.152124275891,388.05090951371,2.34845104383382,0.0189552919860947,117.93537856824,0.952916413068514,131.517764671995,131.112266617732,155.907898255115,145.116241493965,125.241310749216,448.284905161653,1270.92021290467,3792.52969154039,247.233343656346,155.964802251937,374.533672476678,219.79504175033,917.583652179093,1437.23938307544,1989.40276453971,1620.21263044621,115.458931578368,229.674510961456,221.466065625846,272.023554885658,233.741997224154,148.816832914648,392.666625300507,164.204763852875,1.37732814546356,0,3.25337752642024,0,0,37.0507870661457,0,146.606823024867,69.0233464984286,145.109277135432,104.319690179579,164.088244014374,29.7262452341071,7.43350028342808,142.32681384209,35.5928875866867,1188.32918696678,564.716159999972,2119.8876396061,1239.62751614041
"LUX","2011",0,48.3795017152062,5.10118205980917,63.9828210503166,6.74576240122068,0.424590618552805,0.432303634921821,942.696238602777,428.78019717176,2.70625250638958,0.0178132854930654,130.064964880229,0.859162877312014,134.754999141947,129.476787714977,164.202429497832,144.100503247085,112.626161993409,466.077139775023,1374.56389785066,4970.87129850415,237.233247159851,211.010215856175,331.946899510222,321.879131489388,956.27588576405,1681.12671063267,2031.22872340845,1849.67903826928,115.152183816093,187.230858061033,232.704958894071,232.366132061141,214.773016171322,119.384899178062,363.49530373974,134.315019183747,1.27418664082174,5.6374470493742e-05,3.51962147217142,0.00015878466979504,0,41.113742746057,0,130.878412950493,69.2664995780201,176.128750278763,101.455917927882,184.981802869446,35.5065682247246,8.47493911133209,161.63591290788,38.5815072277853,1454.12574212837,418.266801364837,2370.6054618084,1209.71934544355
