"ISO3","Year","Sector_abb","Disaster_Frequency","Category","Value"
"ARG","2009","Mining",5,"Output_Domestic",1582.0435585838
"ARG","2009","Mining",5,"Output_Foreign",369.650459324869
"ARG","2009","Pharma",5,"Export_Domestics",158.40492016029
"ARG","2009","Pharma",5,"Export_Foreign",425.826352759521
"ARG","2009","Pharma",5,"Output_Domestic",995.514824568774
"ARG","2009","Pharma",5,"Output_Foreign",2038.49652993502
"ARG","2009","RawMaterial",5,"Export_Domestics",130.919551664048
"ARG","2009","RawMaterial",5,"Export_Foreign",33.7232991388019
"ARG","2009","RawMaterial",5,"Output_Domestic",1695.72587706137
"ARG","2009","RawMaterial",5,"Output_Foreign",201.272536674384
"ARG","2009","Recreation",5,"Export_Domestics",32.8004183748075
"ARG","2009","Recreation",5,"Export_Foreign",0.548717162140588
"ARG","2009","Recreation",5,"Output_Domestic",2716.71050324538
"ARG","2009","Recreation",5,"Output_Foreign",45.450958653558
"ARG","2009","Transportation",5,"Export_Domestics",1556.58747485518
"ARG","2009","Transportation",5,"Export_Foreign",1385.92759859848
"ARG","2009","Transportation",5,"Output_Domestic",17570.2291808277
"ARG","2009","Transportation",5,"Output_Foreign",3670.44435312565
"ARG","2010","Agriculture",1,"Export_Domestics",2022.15950426199
"ARG","2010","Agriculture",1,"Export_Foreign",2.6342131954636
"ARG","2010","Agriculture",1,"Output_Domestic",7526.26628435605
"ARG","2010","Agriculture",1,"Output_Foreign",9.8054267879453
"ARG","2010","Construction",1,"Export_Domestics",0
"ARG","2010","Construction",1,"Export_Foreign",0
"ARG","2010","Construction",1,"Output_Domestic",7962.93861274437
"ARG","2010","Construction",1,"Output_Foreign",657.34725117019
"ARG","2010","Education",1,"Export_Domestics",4.34003462011963
"ARG","2010","Education",1,"Export_Foreign",0.00441461082935784
"ARG","2010","Education",1,"Output_Domestic",3088.95471708785
"ARG","2010","Education",1,"Output_Foreign",3.14514103659017
"ARG","2010","Electronic",1,"Export_Domestics",85.6361606870008
"ARG","2010","Electronic",1,"Export_Foreign",66.6590458440033
"ARG","2010","Electronic",1,"Output_Domestic",1370.49608305159
"ARG","2010","Electronic",1,"Output_Foreign",1090.701918352
"ARG","2010","Energy",1,"Export_Domestics",296.295059079561
"ARG","2010","Energy",1,"Export_Foreign",157.071243398701
"ARG","2010","Energy",1,"Output_Domestic",16359.6605189775
"ARG","2010","Energy",1,"Output_Foreign",6602.291071424
"ARG","2010","Food",1,"Export_Domestics",2953.77421304737
"ARG","2010","Food",1,"Export_Foreign",400.675936212752
"ARG","2010","Food",1,"Output_Domestic",18572.1353250965
"ARG","2010","Food",1,"Output_Foreign",1428.75949752776
"ARG","2010","HumanActivities",1,"Export_Domestics",175.997617339007
"ARG","2010","HumanActivities",1,"Export_Foreign",130.982963392722
"ARG","2010","HumanActivities",1,"Output_Domestic",11766.2706054301
"ARG","2010","HumanActivities",1,"Output_Foreign",888.944289343334
"ARG","2010","Machinery",1,"Export_Domestics",89.6190848532461
"ARG","2010","Machinery",1,"Export_Foreign",113.882320288295
"ARG","2010","Machinery",1,"Output_Domestic",1770.78173710349
"ARG","2010","Machinery",1,"Output_Foreign",976.21304282285
"ARG","2010","Manufacturing",1,"Export_Domestics",347.818533053947
"ARG","2010","Manufacturing",1,"Export_Foreign",38.813259002317
"ARG","2010","Manufacturing",1,"Output_Domestic",6647.68516350751
"ARG","2010","Manufacturing",1,"Output_Foreign",323.632746824058
"ARG","2010","Mining",1,"Export_Domestics",5.78301863188221
"ARG","2010","Mining",1,"Export_Foreign",10.0138853694092
"ARG","2010","Mining",1,"Output_Domestic",1687.23965109877
"ARG","2010","Mining",1,"Output_Foreign",306.014548838381
